epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,509.413,1.31621,1.91588,0.53744,1.16567,0,0.97914,0.9886,0.99296,0.62812,0.9681,0.96296,0.97971,0.55193,1.33999,2.00973,0.49764,1.25527,0,0.0010298,0.0010298,0.0010298
51,519.512,1.32635,1.91483,0.53093,1.19182,0,0.98519,0.9962,0.99356,0.63539,0.96896,0.97626,0.98428,0.53582,1.30958,2.00859,0.48701,1.24128,0,0.00101,0.00101,0.00101
52,529.288,1.31996,1.94969,0.53394,1.18152,0,0.98668,0.99335,0.99095,0.6395,0.97064,0.97721,0.98231,0.55274,1.28705,1.96078,0.50173,1.23361,0,0.0009902,0.0009902,0.0009902
53,539.637,1.28092,1.89044,0.52243,1.16511,0,0.98674,0.9867,0.99096,0.61187,0.97627,0.97626,0.98452,0.53393,1.34722,1.9785,0.51939,1.2644,0,0.0009704,0.0009704,0.0009704
54,549.373,1.31801,1.91418,0.53159,1.16979,0,0.98923,0.9905,0.99359,0.65173,0.96951,0.96866,0.98127,0.56345,1.25895,1.91173,0.47701,1.2203,0,0.0009506,0.0009506,0.0009506
55,560.62,1.29476,1.88127,0.52065,1.18337,0,0.98681,0.9945,0.99106,0.64275,0.97609,0.97911,0.98694,0.56784,1.28907,1.94483,0.48696,1.23128,0,0.0009308,0.0009308,0.0009308
56,570.571,1.32407,1.91697,0.53855,1.17659,0,0.9896,0.99426,0.99455,0.64877,0.97637,0.98096,0.98714,0.56993,1.28446,1.91632,0.48594,1.22962,0,0.000911,0.000911,0.000911
57,581.583,1.31125,1.9071,0.53134,1.16914,0,0.98587,0.99413,0.99193,0.65923,0.97231,0.97626,0.98636,0.57413,1.25867,1.92932,0.48857,1.21856,0,0.0008912,0.0008912,0.0008912
58,593.285,1.28781,1.90492,0.52849,1.14343,0,0.99057,0.9943,0.9933,0.66189,0.97787,0.98101,0.98822,0.57794,1.26091,1.94219,0.47505,1.21667,0,0.0008714,0.0008714,0.0008714
59,605.08,1.26603,1.89673,0.51472,1.16224,0,0.98706,0.9886,0.99209,0.6077,0.96997,0.97151,0.97677,0.53219,1.35249,2.03268,0.531,1.2691,0,0.0008516,0.0008516,0.0008516
60,615.687,1.25002,1.85635,0.50882,1.15903,0,0.98861,0.99715,0.99447,0.66752,0.97777,0.98101,0.98619,0.57576,1.24119,1.91735,0.47245,1.21114,0,0.0008318,0.0008318,0.0008318
61,626.86,1.25829,1.86231,0.51122,1.16616,0,0.98942,0.9981,0.99483,0.67084,0.97718,0.98575,0.98855,0.57891,1.22924,1.8742,0.46071,1.2071,0,0.000812,0.000812,0.000812
62,638.187,1.27611,1.89526,0.51396,1.13928,0,0.99229,0.99905,0.99479,0.68051,0.98191,0.9886,0.99045,0.59385,1.23276,1.89329,0.46922,1.18754,0,0.0007922,0.0007922,0.0007922
63,649.266,1.25133,1.85121,0.50379,1.13531,0,0.99053,0.99715,0.99424,0.68872,0.97823,0.98135,0.98742,0.59127,1.19297,1.84026,0.45196,1.17384,0,0.0007724,0.0007724,0.0007724
64,660.459,1.22831,1.83265,0.49862,1.1345,0,0.98974,0.99525,0.99344,0.67425,0.9746,0.98006,0.98567,0.58324,1.23565,1.90139,0.45997,1.20488,0,0.0007526,0.0007526,0.0007526
65,670.174,1.24087,1.84151,0.49428,1.13514,0,0.99054,0.99468,0.99456,0.65599,0.97164,0.97596,0.984,0.56931,1.29491,1.9096,0.46417,1.24947,0,0.0007328,0.0007328,0.0007328
66,679.989,1.26831,1.88497,0.51314,1.13891,0,0.98938,0.9981,0.99415,0.63288,0.97809,0.9867,0.98731,0.54067,1.36038,1.91872,0.48495,1.26213,0,0.000713,0.000713,0.000713
67,689.746,1.25527,1.84372,0.50742,1.14598,0,0.99017,0.9981,0.99434,0.66458,0.97646,0.98463,0.98725,0.57307,1.25195,1.87478,0.46621,1.21583,0,0.0006932,0.0006932,0.0006932
68,699.663,1.24669,1.82012,0.49997,1.15039,0,0.99317,0.99905,0.99477,0.6661,0.98111,0.98644,0.98753,0.56715,1.28025,1.86273,0.46101,1.21782,0,0.0006734,0.0006734,0.0006734
69,709.48,1.23449,1.82738,0.49813,1.13394,0,0.99151,0.99792,0.99405,0.68592,0.97922,0.98476,0.98929,0.59288,1.23058,1.88744,0.44936,1.19845,0,0.0006536,0.0006536,0.0006536
70,719.344,1.21638,1.80301,0.48869,1.11077,0,0.99312,0.9981,0.99484,0.68542,0.97612,0.98101,0.98717,0.5853,1.20994,1.80391,0.43765,1.19373,0,0.0006338,0.0006338,0.0006338
71,728.792,1.23835,1.85929,0.49779,1.1296,0,0.99273,0.9981,0.99449,0.69911,0.98328,0.9886,0.98964,0.60505,1.17779,1.83188,0.44535,1.16362,0,0.000614,0.000614,0.000614
72,740.668,1.21848,1.79936,0.48516,1.11393,0,0.98877,0.99525,0.99241,0.69373,0.97925,0.98614,0.98945,0.60721,1.20979,1.86696,0.45421,1.18407,0,0.0005942,0.0005942,0.0005942
73,750.486,1.2159,1.80374,0.48449,1.13608,0,0.99015,0.9962,0.99276,0.69656,0.97829,0.98431,0.98707,0.60849,1.19104,1.85248,0.44303,1.17962,0,0.0005744,0.0005744,0.0005744
74,761.189,1.21826,1.83344,0.48776,1.1109,0,0.99149,0.99522,0.9932,0.6772,0.97537,0.97792,0.98418,0.58648,1.2302,1.88414,0.45044,1.20544,0,0.0005546,0.0005546,0.0005546
75,771.054,1.18606,1.75628,0.47992,1.11178,0,0.98864,0.99209,0.99253,0.70506,0.98012,0.98327,0.98888,0.59674,1.16467,1.86253,0.43518,1.16489,0,0.0005348,0.0005348,0.0005348
76,780.271,1.20191,1.81007,0.4786,1.12397,0,0.99394,0.99905,0.99458,0.70589,0.98543,0.9905,0.99358,0.60068,1.1778,1.85251,0.43598,1.17056,0,0.000515,0.000515,0.000515
77,790.906,1.19917,1.79659,0.48015,1.1191,0,0.99043,0.99715,0.99362,0.68462,0.98005,0.9867,0.98901,0.59414,1.21324,1.92462,0.44681,1.19751,0,0.0004952,0.0004952,0.0004952
78,800.748,1.16766,1.77615,0.47033,1.10545,0,0.98862,0.99335,0.99002,0.67246,0.97825,0.98227,0.98659,0.59239,1.25298,1.91977,0.45088,1.21568,0,0.0004754,0.0004754,0.0004754
79,810.115,1.17555,1.7635,0.47031,1.1037,0,0.99322,1,0.99474,0.70303,0.98095,0.98765,0.99021,0.61559,1.1896,1.79787,0.43656,1.17186,0,0.0004556,0.0004556,0.0004556
80,821.125,1.1793,1.77469,0.47277,1.09068,0,0.99337,1,0.99469,0.71016,0.98394,0.9905,0.99369,0.62052,1.16571,1.79832,0.42983,1.15912,0,0.0004358,0.0004358,0.0004358
81,833.08,1.16946,1.75393,0.46974,1.09033,0,0.99426,1,0.99472,0.70713,0.9782,0.98386,0.98789,0.6171,1.15007,1.78993,0.42871,1.15155,0,0.000416,0.000416,0.000416
82,843.274,1.16972,1.7518,0.46743,1.11187,0,0.99328,1,0.99463,0.69946,0.98359,0.9886,0.9903,0.61144,1.1915,1.83158,0.43384,1.18183,0,0.0003962,0.0003962,0.0003962
83,852.522,1.16934,1.7379,0.46489,1.11375,0,0.99324,0.9981,0.9947,0.68496,0.98095,0.98575,0.99024,0.60276,1.22158,1.89439,0.44134,1.20229,0,0.0003764,0.0003764,0.0003764
84,861.777,1.14856,1.74318,0.46252,1.08672,0,0.99332,1,0.99467,0.71972,0.98434,0.9886,0.99045,0.62301,1.12424,1.76392,0.41895,1.13789,0,0.0003566,0.0003566,0.0003566
85,872.718,1.15127,1.7039,0.4594,1.08125,0,0.99413,1,0.99461,0.72429,0.98109,0.9867,0.98811,0.62019,1.11371,1.75149,0.4131,1.13363,0,0.0003368,0.0003368,0.0003368
86,884.124,1.17678,1.7655,0.46486,1.10359,0,0.99433,0.99981,0.99449,0.71771,0.98111,0.98652,0.98895,0.61163,1.13313,1.74116,0.41554,1.15037,0,0.000317,0.000317,0.000317
87,893.541,1.1464,1.74616,0.45948,1.09191,0,0.99314,0.99905,0.99454,0.71971,0.98276,0.9886,0.98971,0.62222,1.12433,1.74971,0.41841,1.14377,0,0.0002972,0.0002972,0.0002972
88,902.861,1.12595,1.70899,0.45002,1.08391,0,0.99351,0.9981,0.99454,0.71521,0.98123,0.98575,0.98927,0.62015,1.13148,1.74179,0.4184,1.14763,0,0.0002774,0.0002774,0.0002774
89,912.362,1.1118,1.68984,0.44889,1.06335,0,0.99432,1,0.99458,0.71245,0.98582,0.99145,0.99345,0.62191,1.14622,1.78671,0.42047,1.15325,0,0.0002576,0.0002576,0.0002576
90,921.844,1.14398,1.718,0.45535,1.0868,0,0.99488,1,0.99465,0.72515,0.98477,0.98955,0.99165,0.62425,1.11403,1.75779,0.41199,1.13702,0,0.0002378,0.0002378,0.0002378
