epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,664.863,1.29682,1.9182,0.53753,1.1719,0,0.27364,0.61538,0.29323,0.18519,0.27119,0.60989,0.288,0.15617,1.36557,2.29331,5.04712,1.29667,0,0.0009704,0.0009704,0.0009704
54,678.478,1.30709,1.90836,0.52932,1.18192,0,0.2102,0.67033,0.25927,0.16771,0.20848,0.66484,0.25214,0.13744,1.3443,2.47113,5.14917,1.26564,0,0.0009506,0.0009506,0.0009506
55,690.803,1.32825,1.91358,0.54498,1.17359,0,0.19713,0.56593,0.24493,0.15501,0.19307,0.57692,0.23631,0.12773,1.37804,2.33478,5.3075,1.29895,0,0.0009308,0.0009308,0.0009308
56,703.097,1.3117,1.89113,0.53101,1.1786,0,0.20532,0.65385,0.25083,0.1572,0.20359,0.64835,0.24347,0.13122,1.38691,2.39122,5.32596,1.30231,0,0.000911,0.000911,0.000911
57,715.496,1.28671,1.88191,0.52645,1.16469,0,0.19686,0.57692,0.25188,0.16114,0.1948,0.57143,0.24453,0.13338,1.35334,2.27824,5.12426,1.27844,0,0.0008912,0.0008912,0.0008912
58,727.545,1.28989,1.87994,0.52423,1.15308,0,0.2167,0.65934,0.2821,0.17806,0.21489,0.65385,0.27452,0.14257,1.41282,2.45581,5.24647,1.31474,0,0.0008714,0.0008714,0.0008714
59,739.609,1.31407,1.90728,0.53207,1.18122,0,0.21329,0.64835,0.2609,0.16232,0.21148,0.64286,0.25503,0.13423,1.42629,2.34639,5.18481,1.33775,0,0.0008516,0.0008516,0.0008516
60,751.685,1.29335,1.88885,0.5239,1.17328,0,0.19768,0.67283,0.25076,0.16177,0.19607,0.66733,0.24788,0.12985,1.40676,2.47481,5.30326,1.3094,0,0.0008318,0.0008318,0.0008318
61,763.768,1.29469,1.89426,0.52324,1.16041,0,0.18507,0.70879,0.22634,0.14365,0.18363,0.7033,0.22145,0.11782,1.35766,2.46491,5.12191,1.28683,0,0.000812,0.000812,0.000812
62,775.914,1.30061,1.90019,0.53024,1.15722,0,0.18154,0.73626,0.23912,0.15469,0.17677,0.73077,0.23534,0.12679,1.34438,2.3183,5.38002,1.28241,0,0.0007922,0.0007922,0.0007922
63,788.056,1.28568,1.89073,0.5214,1.16221,0,0.20688,0.65385,0.26339,0.16958,0.20514,0.64835,0.25651,0.14327,1.40345,2.42983,5.10716,1.32472,0,0.0007724,0.0007724,0.0007724
64,800.124,1.26068,1.84558,0.5147,1.15224,0,0.17203,0.7033,0.24502,0.15845,0.17069,0.6978,0.24208,0.13361,1.37528,2.41758,5.38261,1.31068,0,0.0007526,0.0007526,0.0007526
65,812.231,1.27358,1.87703,0.51182,1.14941,0,0.24861,0.57143,0.27662,0.17262,0.24622,0.56593,0.27053,0.14606,1.41436,2.42754,5.4336,1.33739,0,0.0007328,0.0007328,0.0007328
66,824.421,1.26178,1.85973,0.51154,1.15289,0,0.1589,0.68132,0.20487,0.13318,0.1589,0.68132,0.20385,0.11107,1.37568,2.3076,5.43986,1.30516,0,0.000713,0.000713,0.000713
67,836.634,1.28569,1.87203,0.51061,1.16097,0,0.23579,0.61538,0.26799,0.16803,0.22609,0.61538,0.2608,0.13833,1.39456,2.51427,5.5225,1.32282,0,0.0006932,0.0006932,0.0006932
68,848.778,1.24615,1.83315,0.50151,1.14285,0,0.15133,0.67033,0.21007,0.13985,0.15133,0.67033,0.21007,0.11484,1.32453,2.42826,5.57947,1.26707,0,0.0006734,0.0006734,0.0006734
69,861.023,1.2521,1.82825,0.49853,1.14514,0,0.20265,0.6044,0.25293,0.16748,0.20081,0.5989,0.24854,0.13833,1.3396,2.44471,5.6814,1.29141,0,0.0006536,0.0006536,0.0006536
70,873.125,1.2504,1.83918,0.49943,1.14585,0,0.17032,0.55495,0.20475,0.12737,0.16863,0.54945,0.20323,0.10996,1.42468,2.42682,5.69484,1.35185,0,0.0006338,0.0006338,0.0006338
71,885.251,1.26963,1.84532,0.50531,1.15812,0,0.22757,0.59572,0.2678,0.16901,0.22547,0.59022,0.26142,0.14107,1.40878,2.53568,5.74415,1.34883,0,0.000614,0.000614,0.000614
72,897.543,1.24813,1.83614,0.5,1.14823,0,0.20817,0.5989,0.25528,0.15486,0.20626,0.59341,0.25034,0.13443,1.47293,2.52962,6.03052,1.39317,0,0.0005942,0.0005942,0.0005942
73,909.571,1.25213,1.84581,0.49782,1.15477,0,0.20702,0.64286,0.25523,0.16645,0.20525,0.63736,0.2519,0.13458,1.37517,2.52688,5.79851,1.32499,0,0.0005744,0.0005744,0.0005744
